"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2014","2014","RATIO","Ratio","0","Units",,,4.4,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2015","2015","RATIO","Ratio","0","Units",,,4.3,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2016","2016","RATIO","Ratio","0","Units",,,4.3,,
"MEX20","Hermosillo","T_T","Population, All ages. Administrative data","2000","2000","PER","Persons","0","Units",,,674235,,
"MEX20","Hermosillo","T_T","Population, All ages. Administrative data","2005","2005","PER","Persons","0","Units",,,677846,,
"MEX20","Hermosillo","T_T","Population, All ages. Administrative data","2010","2010","PER","Persons","0","Units",,,775441,,
"MEX20","Hermosillo","T_T","Population, All ages. Administrative data","2015","2015","PER","Persons","0","Units",,,899048,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2000","2000","PER","Persons","0","Units",,,331734,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2001","2001","PER","Persons","0","Units",,,333650,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2002","2002","PER","Persons","0","Units",,,335566,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2003","2003","PER","Persons","0","Units",,,337482,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2004","2004","PER","Persons","0","Units",,,339399,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2005","2005","PER","Persons","0","Units",,,341315,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2006","2006","PER","Persons","0","Units",,,343231,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2007","2007","PER","Persons","0","Units",,,345147,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2008","2008","PER","Persons","0","Units",,,347063,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2009","2009","PER","Persons","0","Units",,,348980,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2010","2010","PER","Persons","0","Units",,,350602,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2011","2011","PER","Persons","0","Units",,,352224,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2012","2012","PER","Persons","0","Units",,,353845,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2013","2013","PER","Persons","0","Units",,,355467,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2014","2014","PER","Persons","0","Units",,,357089,,
"FR038","Le Mans","T_T","Population, All ages. Administrative data","2015","2015","PER","Persons","0","Units",,,357743,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2000","2000","PER","Persons","0","Units",,,232,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2001","2001","PER","Persons","0","Units",,,233,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2002","2002","PER","Persons","0","Units",,,234,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2003","2003","PER","Persons","0","Units",,,236,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2004","2004","PER","Persons","0","Units",,,237,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2005","2005","PER","Persons","0","Units",,,238,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2006","2006","PER","Persons","0","Units",,,239,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2007","2007","PER","Persons","0","Units",,,240,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2008","2008","PER","Persons","0","Units",,,241,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2009","2009","PER","Persons","0","Units",,,242,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2010","2010","PER","Persons","0","Units",,,244,,
"FR026","Grenoble","POP_DEN","Population density (pop. per km2)","2011","2011","PER","Persons","0","Units",,,245,,
